, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Belle Fourche,"2,000-3,000'",0,NA,0,0,0,0,"1,720",NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"1,722",NA,NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"2,827",NA,NA,0.0 ( 1 )
,"5,000-6,000'",11,2,0,0,0,19,721,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",14,4,0.1,0,0.3,134,209,NA,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,1,NA,NA,NA
2. Bighorn,"2,000-3,000'",0,NA,0,0,0,0,213,NA,NA,NA
,"3,000-4,000'",>300†,NA,0,0,0,0,"2,480",NA,NA,NA
,"4,000-5,000'",53,0,0,0,0,0,"5,267",NA,NA,NA
,"5,000-6,000'",>300†,20,0,0,0,56,"5,480",NA,NA,NA
,"6,000-7,000'",197,102,0.2,0.1,0.8,"8,859","3,200",NA,NA,NA
,"7,000-8,000'",156,113,1.7,0.9,10.2,"83,399","1,827",4.7 ( 3 ),4.6 ( 3 ),1.8 ( 3 )
,"8,000-9,000'",132,113,7.3,5.2,48.6,"437,849","1,565",6.5 ( 7 ),5.4 ( 7 ),5.1 ( 4 )
,"9,000-10,000'",102,98,12.3,10.6,76.3,"777,797","1,381",14.5 ( 8 ),14.8 ( 8 ),6.8 ( 3 )
,"10,000-11,000'",89,88,15,14.6,86.6,"719,923",926,18.3 ( 3 ),19.0 ( 3 ),NA
,"11,000-12,000'",86,87,16.8,17.9,92,"348,227",364,NA,NA,NA
,">12,000'",84,88,20.1,22.6,94.6,"43,126",36,NA,NA,NA
3. Cheyenne,"2,000-3,000'",0,NA,0,0,0,0,"3,403",NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"3,657",NA,NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"5,671",NA,NA,NA
,"5,000-6,000'",1,0,0,0,0,0,"2,141",NA,NA,NA
,"6,000-7,000'",50,0,0.1,0,0,17,472,0.1 ( 2 ),0.0 ( 2 ),NA
,"7,000-8,000'",32,0,0.1,0,0,0,5,NA,NA,NA
4. Gallatin,"4,000-5,000'",0,0,0,0,0,0,462,NA,NA,NA
,"5,000-6,000'",23,8,0,0,0.1,80,300,NA,NA,NA
,"6,000-7,000'",105,78,1.5,0.7,9.9,"9,788",271,11.7 ( 1 ),10.7 ( 1 ),10.9 ( 1 )
,"7,000-8,000'",97,90,5.2,4,44,"81,182",380,NA,NA,12.5 ( 3 )
,"8,000-9,000'",76,85,9.7,10.2,77.8,"171,345",314,24.7 ( 2 ),24.4 ( 2 ),NA
,"9,000-10,000'",72,89,13,16,87.4,"97,092",114,26.2 ( 1 ),25.9 ( 1 ),NA
,"10,000-11,000'",81,89,16.1,18.9,89.2,"6,326",6,NA,NA,NA
5. Jefferson,"5,000-6,000'",30,1,0,0,0,2,"1,658",NA,NA,NA
,"6,000-7,000'",76,30,0.4,0.1,0.9,"11,450","3,121",0.0 ( 2 ),0.0 ( 2 ),1.0 ( 2 )
,"7,000-8,000'",102,70,3.3,1.7,16.2,"240,387","2,638",5.9 ( 3 ),4.9 ( 3 ),8.4 ( 6 )
,"8,000-9,000'",94,84,8.7,7,51.4,"425,396","1,135",16.9 ( 6 ),16.7 ( 6 ),18.5 ( 3 )
,"9,000-10,000'",90,91,13.7,13.8,76.6,"167,602",228,19.4 ( 2 ),19.0 ( 2 ),NA
,"10,000-11,000'",94,94,15.3,15.2,79.8,"5,795",7,NA,NA,NA
6. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,165,NA,NA,NA
,"5,000-6,000'",12,0,0,0,0,0,440,NA,NA,NA
,"6,000-7,000'",64,31,0.5,0.1,2.5,"3,627",491,7.2 ( 2 ),5.4 ( 2 ),0.0 ( 1 )
,"7,000-8,000'",92,69,4.7,2.8,31.6,"106,305",719,16.5 ( 3 ),15.0 ( 3 ),3.6 ( 4 )
,"8,000-9,000'",80,81,10.3,9.7,74.2,"292,187",564,23.9 ( 2 ),22.3 ( 2 ),NA
,"9,000-10,000'",81,88,15.1,15.8,85.8,"112,398",133,NA,NA,NA
,">10,000'",81,87,19.1,20.6,90.4,"12,174",11,NA,NA,NA
7. North Platte,"7,000-8,000'",12,2,0,0,0,961,"6,341",1.2 ( 2 ),0.2 ( 2 ),NA
,"8,000-9,000'",54,31,1,0.4,6.2,"59,250","2,477",6.1 ( 6 ),4.8 ( 6 ),6.3 ( 3 )
,"9,000-10,000'",69,65,6.1,5.2,56.4,"274,350",990,16.2 ( 9 ),14.5 ( 9 ),7.3 ( 7 )
,"10,000-11,000'",72,63,11.8,10.5,87.8,"229,237",409,29.1 ( 5 ),28.4 ( 5 ),28.6 ( 3 )
,"11,000-12,000'",73,64,13.8,13.5,92.5,"44,093",61,NA,NA,NA
,"12,000-13,000'",74,69,12.9,15.4,94.4,"2,452",3,NA,NA,NA
8. Powder,"2,000-3,000'",0,NA,0,0,0,0,"1,208",NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"3,983",NA,NA,NA
,"4,000-5,000'",0,NA,0,0,0,0,"4,641",NA,NA,NA
,"5,000-6,000'",25,0,0,0,0,0,"2,030",NA,NA,NA
,"6,000-7,000'",81,121,0.1,0,0.7,"1,404",596,NA,NA,NA
,"7,000-8,000'",78,128,0.8,0.8,13.8,"22,461",496,NA,NA,NA
,"8,000-9,000'",94,106,3.8,3.9,52.1,"59,652",289,2.5 ( 4 ),2.3 ( 4 ),8.2 ( 1 )
,"9,000-10,000'",88,84,9.7,9.4,88.1,"40,721",81,11.6 ( 1 ),13.3 ( 1 ),NA
,"10,000-11,000'",85,85,13.5,14.2,96.2,"31,889",42,NA,NA,NA
,">11,000'",84,86,17.4,18.3,96.1,"18,605",19,NA,NA,NA
9. Smith-Judith-Musselshell,"4,000-5,000'",26,4,0,0,0,8,"4,188",NA,NA,NA
,"5,000-6,000'",126,56,0.1,0,0.4,"3,199","2,486",NA,NA,NA
,"6,000-7,000'",210,134,3.1,1.1,11.7,"68,412","1,131",9.2 ( 4 ),6.9 ( 4 ),1.4 ( 2 )
,"7,000-8,000'",123,119,8.7,7.1,57.4,"178,744",475,17.9 ( 5 ),16.7 ( 5 ),20.8 ( 2 )
,"8,000-9,000'",98,99,12.7,13,81.6,"36,861",53,NA,NA,NA
,"9,000-10,000'",93,90,11.7,13.6,85.6,"1,118",2,NA,NA,NA
10. Snake,"5,000-6,000'",223,13,0.3,0,0.2,67,266,NA,NA,NA
,"6,000-7,000'",180,73,2.2,0.6,10.8,"41,723","1,259",11.1 ( 2 ),7.9 ( 2 ),3.2 ( 1 )
,"7,000-8,000'",118,92,7.2,4.6,47.9,"413,271","1,676",15.1 ( 5 ),12.4 ( 5 ),10.6 ( 4 )
,"8,000-9,000'",90,86,13.1,11.3,80.1,"877,593","1,454",22.7 ( 3 ),21.0 ( 3 ),NA
,"9,000-10,000'",85,86,16.7,16.9,90.5,"692,167",767,22.7 ( 2 ),23.2 ( 2 ),NA
,"10,000-11,000'",84,88,20.3,22.1,92.8,"231,441",196,NA,NA,NA
,">11,000'",82,85,19.3,21.2,91.2,"7,969",7,NA,NA,NA
11. Sun-Teton-Marias,"3,000-4,000'",0,0,0,0,0,0,"6,402",NA,NA,NA
,"4,000-5,000'",8,5,0,0,0,116,"2,559",NA,NA,NA
,"5,000-6,000'",83,58,1.4,0.6,7.6,"20,563",622,2.9 ( 4 ),1.0 ( 4 ),2.1 ( 3 )
,"6,000-7,000'",103,83,5.9,3.9,32.5,"116,102",562,15.0 ( 1 ),12.2 ( 1 ),9.9 ( 1 )
,"7,000-8,000'",90,84,10.5,9.3,60.4,"148,104",298,26.1 ( 1 ),22.4 ( 1 ),NA
,">8,000'",91,87,13.4,12.3,69.3,"13,207",20,NA,NA,NA
12. Tongue,"2,000-3,000'",0,NA,0,0,0,0,883,NA,NA,NA
,"3,000-4,000'",0,NA,0,0,0,0,"2,793",NA,NA,NA
,"4,000-5,000'",0,0,0,0,0,0,"1,207",NA,NA,NA
,"5,000-6,000'",99,13,0.1,0,0.1,5,51,NA,NA,NA
,"6,000-7,000'",183,151,1.4,0.6,9.3,"1,081",35,NA,NA,NA
,"7,000-8,000'",137,139,6.5,5.8,64.9,"36,743",120,8.5 ( 2 ),8.4 ( 2 ),NA
,"8,000-9,000'",89,88,8.9,8.4,81.1,"77,131",172,10.1 ( 4 ),11.7 ( 4 ),11.6 ( 2 )
,"9,000-10,000'",88,88,13.9,13.7,92.6,"84,840",116,NA,NA,16.1 ( 1 )
,"10,000-11,000'",91,94,17.7,19,97.8,"21,857",22,NA,NA,NA
,"11,000-12,000'",87,88,18.8,20,98.3,"2,060",2,NA,NA,NA
13. Upper Clark Fork,"3,000-4,000'",0,0,0,0,0,0,157,NA,NA,NA
,"4,000-5,000'",29,8,0,0,0,129,"1,435",NA,NA,0.0 ( 1 )
,"5,000-6,000'",115,60,0.6,0.2,2.1,"20,027","1,986",0.1 ( 3 ),0.0 ( 3 ),NA
,"6,000-7,000'",130,87,3.4,1.7,15.2,"142,597","1,577",16.7 ( 2 ),13.0 ( 2 ),4.3 ( 6 )
,"7,000-8,000'",104,93,9.4,7.1,54.1,"251,245",660,14.0 ( 6 ),11.8 ( 6 ),11.0 ( 6 )
,"8,000-9,000'",81,84,11.9,11.7,75.5,"92,826",149,15.0 ( 1 ),14.2 ( 1 ),NA
,">9,000'",93,91,15.1,14.7,83.3,"13,654",17,NA,NA,NA
14. Upper Green,"7,000-8,000'",105,36,0.4,0.1,0.9,"25,887","6,357",5.3 ( 2 ),2.3 ( 2 ),NA
,"8,000-9,000'",107,88,5.2,3.6,31.3,"308,153","1,595",14.0 ( 7 ),11.5 ( 7 ),21.0 ( 1 )
,"9,000-10,000'",85,80,10.6,9.4,67.5,"445,796",892,10.2 ( 9 ),8.9 ( 9 ),NA
,"10,000-11,000'",78,79,14.6,14.5,86.8,"362,104",470,12.7 ( 2 ),11.8 ( 2 ),NA
,"11,000-12,000'",77,78,16.6,17.3,90.1,"178,162",193,NA,NA,NA
,"12,000-13,000'",75,77,17.5,17.6,88.4,"29,817",32,NA,NA,NA
,"13,000-14,000'",79,83,23.3,20.9,84.8,323,0,NA,NA,NA
15. Upper Missouri,"4,000-5,000'",180,0,0,0,0,0,"1,174",NA,NA,NA
,"5,000-6,000'",93,27,0,0,0.1,259,"1,058",NA,NA,NA
,"6,000-7,000'",166,93,2,0.6,7.4,"18,131",562,1.4 ( 1 ),0.0 ( 1 ),1.7 ( 2 )
,"7,000-8,000'",137,121,7.6,5.6,52,"39,680",132,4.1 ( 1 ),0.1 ( 1 ),9.6 ( 1 )
,">8,000'",89,95,11.4,13.8,87.9,"17,933",24,NA,NA,NA
16. Upper Snake Basins,"4,000-5,000'",0,0,0,0,0,0,891,NA,NA,NA
,"5,000-6,000'",89,12,0.1,0,0.2,337,"1,909",NA,NA,NA
,"6,000-7,000'",85,27,1.3,0.3,5.6,"47,445","2,847",6.4 ( 6 ),3.0 ( 6 ),1.2 ( 6 )
,"7,000-8,000'",92,75,7.5,5.3,51.8,"234,042",821,16.4 ( 4 ),13.2 ( 4 ),9.4 ( 4 )
,"8,000-9,000'",78,79,15.6,14.7,87,"261,383",333,NA,NA,22.1 ( 2 )
,"9,000-10,000'",74,78,17.7,19.4,90.8,"69,470",67,41.1 ( 1 ),42.9 ( 1 ),NA
,"10,000-11,000'",75,80,20.1,23.6,92,"8,369",7,NA,NA,NA
17. Upper Yellowstone,"4,000-5,000'",170,0,0,0,0,0,"3,414",NA,NA,NA
,"5,000-6,000'",161,40,0.1,0,0.1,265,"1,794",2.7 ( 1 ),0.7 ( 1 ),NA
,"6,000-7,000'",173,97,1.9,0.6,8.8,"32,441","1,046",5.1 ( 4 ),2.5 ( 4 ),0.0 ( 1 )
,"7,000-8,000'",113,97,5.7,3.9,45.5,"279,483","1,359",12.5 ( 5 ),11.2 ( 5 ),3.3 ( 3 )
,"8,000-9,000'",94,94,11.2,10.4,81.5,"1,022,680","1,839",19.3 ( 5 ),19.7 ( 5 ),18.3 ( 2 )
,"9,000-10,000'",85,88,15.7,16.1,91.9,"1,015,621","1,182",27.8 ( 4 ),28.3 ( 4 ),14.8 ( 1 )
,"10,000-11,000'",83,85,17.9,19.2,95,"382,757",374,NA,NA,NA
,"11,000-12,000'",83,85,19.6,21.3,95.8,"67,882",60,NA,NA,NA
,"12,000-13,000'",83,85,18.6,22.5,95.8,"1,970",2,NA,NA,NA
18. Wood and Lost Basins,"5,000-6,000'",52,90,0,0,0.2,"1,379","2,754",0.1 ( 2 ),0.1 ( 2 ),NA
,"6,000-7,000'",69,28,0.2,0.1,0.9,"6,977","1,853",1.9 ( 4 ),0.0 ( 4 ),NA
,"7,000-8,000'",122,52,2.4,0.8,7.4,"55,640","1,378",6.9 ( 6 ),4.4 ( 6 ),NA
,"8,000-9,000'",111,72,7,3.7,28.3,"172,508",879,10.9 ( 3 ),8.1 ( 3 ),NA
,"9,000-10,000'",97,84,12.5,9.7,60.1,"225,449",436,16.1 ( 1 ),13.9 ( 1 ),NA
,"10,000-11,000'",92,85,14.7,12.7,71.7,"76,098",112,NA,NA,NA
,"11,000-12,000'",91,88,17.8,15.4,78.6,"6,956",8,NA,NA,NA
